longitude,latitude,species_name,source
34.8845870244,0.2260290683,Junonia gregorii,iNaturalist
34.8845870244,0.2260290683,Junonia sophia,iNaturalist
34.8845870244,0.2260290683,Junonia temora,iNaturalist
34.8845870244,0.2260290683,Euphaedra rex,iNaturalist
34.8845870244,0.2260290683,Papilio phorcas,iNaturalist
34.8847045004,0.2270504105,Junonia sophia infracta,iNaturalist
34.8847045004,0.2270504105,Evena crithea,iNaturalist
34.8847045004,0.2270504105,Bicyclus,iNaturalist
34.8847045004,0.2270504105,Acraea quirina quirina,iNaturalist
34.8847045004,0.2270504105,Amauris tartarea tartarea,iNaturalist
34.8847045004,0.2270504105,Amauris albimaculata,iNaturalist
34.8847045004,0.2270504105,Telchinia lycoa,iNaturalist
34.8847045004,0.2270504105,Euphaedra,iNaturalist
34.8847045004,0.2270504105,Papilio echerioides,iNaturalist
34.8847045004,0.2270504105,Papilio phorcas,iNaturalist
34.7518631,0.2827307,Belenois raffrayi,iNaturalist
34.7518631,0.2827307,Belenois sudanensis,iNaturalist
34.7518631,0.2827307,Papilio lormieri,iNaturalist
34.7518631,0.2827307,Tuxentius margaritaceus,iNaturalist
34.7518631,0.2827307,Anthene,iNaturalist
34.7518631,0.2827307,Telchinia penelope,iNaturalist
34.7518631,0.2827307,Junonia gregorii,iNaturalist
34.7518631,0.2827307,Nepheronia thalassina,iNaturalist
34.7518631,0.2827307,Neptis melicerta,iNaturalist
34.7518631,0.2827307,Papilio dardanus,iNaturalist
34.7518631,0.2827307,Papilio phorcas,iNaturalist
34.7518631,0.2827307,Euphaedra,iNaturalist
34.7518631,0.2827307,Hypolimnas monteironis major,iNaturalist
34.7518631,0.2827307,Papilio chrapkowskii,iNaturalist
34.7518631,0.2827307,Telchinia lycoa,iNaturalist
34.7518631,0.2827307,Charaxes bipunctatus,iNaturalist
34.7518631,0.2827307,Junonia temora,iNaturalist
34.7518631,0.2827307,Hypolimnas monteironis,iNaturalist
34.7518631,0.2827307,Celaenorrhinus,iNaturalist
34.7518631,0.2827307,Cymothoe,iNaturalist
34.8847045004,0.2270504105,Vanessula milca latifasciata,iNaturalist
34.8847045004,0.2270504105,Telchinia disjuncta,iNaturalist
34.8847045004,0.2270504105,Liptena,iNaturalist
34.8664749,0.2363341,Hesperiidae,iNaturalist
34.8664749,0.2363341,Sevenia,iNaturalist
34.8664749,0.2363341,Papilio phorcas,iNaturalist
34.8664749,0.2363341,Protogoniomorpha parhassus,iNaturalist
34.8664749,0.2363341,Telchinia lycoa,iNaturalist
34.8664749,0.2363341,Celaenorrhinus,iNaturalist
34.8664749,0.2363341,Evena crithea,iNaturalist
34.8664749,0.2363341,Junonia terea,iNaturalist
34.8683272211,0.2368289491,Belenois raffrayi,iNaturalist
34.8683224411,0.236827984,Junonia gregorii,iNaturalist
34.8683492644,0.2368244522,Belenois thysa,iNaturalist
34.8683225758,0.2368049489,Celaenorrhinus larseni,iNaturalist
34.8683162342,0.2368454489,Belenois sudanensis,iNaturalist
34.8682679819,0.2368844854,Junonia terea terea,iNaturalist
34.8683452464,0.2368518885,Acleros,iNaturalist
34.8820913488,0.2092458481,Telchinia perenna,iNaturalist
34.871919907,0.1992125768,Amauris tartarea,iNaturalist
34.875459811,0.1995526192,Satyrini,iNaturalist
34.8687430045,0.1994026878,Hypolimnas monteironis major,iNaturalist
34.8749036226,0.1988520366,Neptis agouale,iNaturalist
34.8699935945,0.1981581559,Celaenorrhinus larseni,iNaturalist
34.8687500199,0.1966114048,Euryphura chalcis,iNaturalist
34.8801598899,0.2006123954,Aterica galene,iNaturalist
34.873705601,0.203334908,Evena crithea,iNaturalist
34.8761270315,0.2016669976,Euphaedra,iNaturalist
34.8782022929,0.1966043262,Aterica galene,iNaturalist
34.8712380762,0.1981305533,Euphaedra,iNaturalist
34.8715294229,0.1977957736,Bebearia,iNaturalist
34.8720038115,0.1970150565,Euphaedra,iNaturalist
34.8702299578,0.1954050437,Euphaedra,iNaturalist
34.8770137039,0.1982324326,Bebearia,iNaturalist
34.8647448192,0.1969313017,Telchinia lycoa,iNaturalist
